"abbreviation","title","venue","year","categories","paper_url","code_url","highlight","status","verified_on","notes"
"HieraCount","Count Anything at Any Granularity","arXiv","2026","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting","https://arxiv.org/abs/2605.10887","https://verg-avesta.github.io/KubriCount/","no","verified","2026-08-10","arXiv preprint; multi-granularity counting"
"MambaCount","MambaCount: Efficient Text-Guided Open-Vocabulary Object Counting with Spatial Sparse State Space Duality Block","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2606.17650","","no","verified","2026-08-10","arXiv preprint"
"Dual-TTT","Test-Time Training for Robust Text-Guided Open-Vocabulary Object Counting","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2606.17601","","no","verified","2026-08-10","arXiv preprint; robustness and Robust-TOOC"
"RT-Counter","RT-Counter: Real-Time Text-Guided Open-Vocabulary Object Counting","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2606.17561","https://github.com/Jason-Mar1/RT-Counter","no","verified","2026-08-10","arXiv preprint; efficient counting"
"UpCount","Spatially-Aware Class-Agnostic Object Counting","arXiv","2026","Class-agnostic Counting","https://arxiv.org/abs/2607.16826","https://github.com/r28112072-rgb/upcount","no","verified","2026-08-10","arXiv preprint; spatially aware reference-less counting"
"OCCAM","OCCAM: Class-Agnostic Training-Free Prior-Free and Multi-Class Object Counting","arXiv","2026","Class-agnostic Counting","https://arxiv.org/abs/2601.13871","https://mikespanak.github.io/OCCAM_counter/","no","verified","2026-08-10","arXiv preprint; training-free multi-class counting"
"CountingDINO","CountingDINO: A Training-Free Pipeline for Class-Agnostic Counting using Unsupervised Backbones","WACV","2026","Class-agnostic Counting;Exemplar-based Counting","https://openaccess.thecvf.com/content/WACV2026/html/Pacini_CountingDINO_A_Training-free_Pipeline_for_Class-Agnostic_Counting_using_Unsupervised_Backbones_WACV_2026_paper.html","","no","verified","2026-08-10","Training-free exemplar-based CAC"
"GeCo2","Generalized-Scale Object Counting with Gradual Query Aggregation","AAAI","2026","Class-agnostic Counting;Exemplar-based Counting","https://ojs.aaai.org/index.php/AAAI/article/view/37780","https://github.com/jerpelhan/GECO2/","no","verified","2026-08-10","Scale-aware few-shot counting and detection"
"WS-COC","Bootstrapping MLLM for Weakly-Supervised Class-Agnostic Object Counting","ICLR","2026","Class-agnostic Counting;MLLM-based Counting","https://arxiv.org/abs/2602.12774","https://github.com/viscom-tongji/WS-COC","no","verified","2026-08-10","Weakly supervised counting bootstrapped by MLLM"
"PrACo++","Does It Really Count? Assessing Semantic Grounding in Text-Guided Class-Agnostic Counting","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2605.02752","","no","verified","2026-08-10","arXiv preprint; semantic-grounding benchmark"
"MixCount","The MixCount Dataset: Bridging the Data Gap for Open-Vocabulary Object Counting","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2605.18063","https://corentindumery.github.io/projects/mixcount.html","no","verified","2026-08-10","arXiv dataset paper for mixed-object scenes"
"RS-OVC","RS-OVC: Open-Vocabulary Counting for Remote-Sensing Data","arXiv","2026","Class-specific Counting;Open-vocabulary Counting","https://arxiv.org/abs/2604.08704","","no","verified","2026-08-10","arXiv preprint; remote-sensing counting"
"AdaCount","AdaCount: Training-Free Similarity-Guided Spatial and Feature Adaptation for Zero-Shot Object Counting","arXiv","2026","Class-agnostic Counting;Open-vocabulary Counting","https://arxiv.org/abs/2607.02139","","no","verified","2026-08-10","arXiv technical report"
"UNICBench","UNICBench: UNIfied Counting Benchmark for MLLM","CVPR","2026","MLLM-based Counting","https://openaccess.thecvf.com/content/CVPR2026/html/Rong_UNICBench_UNIfied_Counting_Benchmark_for_MLLM_CVPR_2026_paper.html","","yes","verified","2026-08-10","Unified image text and audio counting benchmark"
"CountScope","Understanding Counting Mechanisms in Large Language and Vision-Language Models","CVPR","2026","MLLM-based Counting","https://openaccess.thecvf.com/content/CVPR2026/html/Hasani_Understanding_Counting_Mechanisms_in_Large_Language_and_Vision-Language_Models_CVPR_2026_paper.html","https://github.com/sharif-ml-lab/counting-mechanisms","no","verified","2026-08-10","Mechanistic analysis of LLM and VLM counting"
"HoloCount","HoloCount: A Holistic Visual Counting Benchmark for MLLMs","arXiv","2026","MLLM-based Counting","https://arxiv.org/abs/2607.06420","https://github.com/MM-MVR/HoloCount","no","verified","2026-08-10","arXiv benchmark for MLLM counting"
"CountVid","Open-World Object Counting in Videos","AAAI","2026","Class-agnostic Counting;Exemplar-based Counting;Open-vocabulary Counting;Video Object Counting","https://arxiv.org/abs/2506.15368","https://github.com/niki-amini-naieni/CountVid","yes","verified","2026-08-10","Unique-object video counting with text and exemplars"
"SVCBench","SVCBench: A Streaming Video Counting Benchmark for Spatial-Temporal State Maintenance","ECCV","2026","MLLM-based Counting;Video Object Counting","https://arxiv.org/abs/2603.12703","https://buaa-colalab.github.io/SVCBench/","no","verified","2026-08-10","Streaming video counting benchmark"
"DG-Det","Depth-Guided Video Object Counting in Crowded Scenes","ACM MM","2026","Class-specific Counting;Video Object Counting","https://arxiv.org/abs/2608.06236","https://github.com/streamer-AP/DG-Net","no","verified","2026-08-10","RGB-D unique-instance video counting"
"EC-Bench","EC-Bench: Enumeration and Counting Benchmark for Ultra-Long Videos","arXiv","2026","MLLM-based Counting;Video Object Counting","https://arxiv.org/abs/2603.29943","","no","verified","2026-08-10","arXiv ultra-long-video benchmark"
"Shu et al.","Adapting Lightweight Image-Based Counting Models for Video Crowd Counting","CVPR","2026","Class-specific Counting;Video Object Counting","https://openaccess.thecvf.com/content/CVPR2026/html/Shu_Adapting_Lightweight_Image-based_Counting_Models_for_Video_Crowd_Counting_CVPR_2026_paper.html","","no","verified","2026-08-10","Lightweight frame-level video crowd counting; author label used because no standard acronym is established"
"TPC-268","Plant Taxonomy Meets Plant Counting: A Fine-Grained Taxonomic Dataset for Counting Hundreds of Plant Species","CVPR","2026","Class-specific Counting;Class-agnostic Counting","https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Plant_Taxonomy_Meets_Plant_Counting_A_Fine-Grained_Taxonomic_Dataset_for_CVPR_2026_paper.html","https://github.com/tiny-smart/TPC-268","no","verified","2026-08-10","Taxonomy-aware plant counting benchmark"
"GROC","See What We Cannot See: A Geo-Guided Reasoning Benchmark for Object Counting under Adverse Earth Observation Conditions","CVPR","2026","Class-specific Counting","https://openaccess.thecvf.com/content/CVPR2026/html/Wang_See_What_We_Cannot_See_A_Geo-guided_Reasoning_Benchmark_for_CVPR_2026_paper.html","","no","verified","2026-08-10","Adverse-condition Earth-observation counting benchmark"
"Zhou & Zhang","Label-Efficient Remote Sensing Object Counting via Cascaded Foundation Models and Global-Local Ranking","IEEE GRSL","2026","Class-specific Counting","https://doi.org/10.1109/LGRS.2026.3726140","","no","verified","2026-08-31","Formal journal record; remote-sensing object counting is the central task; no official code located"
"Shang et al.","Untangling context: A Gaussian Splatting-mediated Bayesian framework for crowd counting","Pattern Recognition","2027","Class-specific Counting","https://doi.org/10.1016/j.patcog.2026.114725","","no","verified","2026-08-31","Article-in-press registered 2026-08-25 for the February 2027 issue; crowd counting is the central task; no official code located"
"SCRSNet","SCRSNet: An Efficient Crowd Counting via Lightweight Spatial-Channel Reconstructive and Scale-Aware Network","Expert Systems","2026","Class-specific Counting","https://doi.org/10.1111/exsy.70409","","no","verified","2026-08-31","Formal journal article; crowd counting is the central task; author repository exists but currently contains no released training code"
"Tripathi et al.","Counting of rice panicles using drone mounted RGB sensor and deep learning approaches","Journal of Crop Science and Biotechnology","2026","Class-specific Counting","https://doi.org/10.1007/s12892-026-00377-9","","no","verified","2026-08-31","Peer-reviewed journal article; UAV image-based rice-panicle counting is the central task; no official code located"
"KBTrack","KBTrack: cloud-enabled temporal identity inference for accurate counting in ornamental plant inventory management","Computers and Electronics in Agriculture","2026","Class-specific Counting;Video Object Counting","https://doi.org/10.1016/j.compag.2026.112307","","no","verified","2026-08-31","Formal journal article; video tracking and temporal identity recovery are designed for plant counting; no public official code located"
"StructGuide-YOLO","Edge-guided structural conditioning for Gong-Che symbol localization and page-level counting in aged documents","Measurement Science and Technology","2026","Class-specific Counting","https://doi.org/10.1088/1361-6501/ae9f7c","","no","verified","2026-08-31","Formal journal article; symbol localization and page-level counting are central contributions; no official code located"
"PRoFENCH","PRoFENCH: A systematic study of multimodal fusion and generalization in WiFi–Vision wireless sensing for people counting","Ad Hoc Networks","2027","Class-specific Counting","https://doi.org/10.1016/j.adhoc.2026.104388","","no","verified","2026-08-31","Article-in-press registered 2026-08-22 for the January 2027 issue; visual and WiFi multimodal people counting is central; no official code located"
"Chen et al. (2026)","One-Shot Crowd Counting With Density Guidance For Scene Adaptation","arXiv","2026","Class-specific Counting","https://arxiv.org/abs/2602.07955","","no","verified","2026-08-31","Retrospective missed entry discovered from a new Crossref/SSRN record; original arXiv v1 is dated 2026-02-08 and crowd counting is central"
